,instrument_token,tradingsymbol
954,10659,ICFL-NH
955,12998,ICFL-NI
956,13000,ICFL-NJ
957,13004,ICFL-NK
958,13007,ICFL-NL
959,13010,ICFL-NM
960,13012,ICFL-NN
961,13017,ICFL-NO
962,13021,ICFL-NP
963,13023,ICFL-NQ
964,10201,ICICI-M1
965,9720,ICICI0101-N9
966,9723,ICICI0101-NC
967,10611,ICICI0102-NB
968,6050,ICICI0199-NB
969,10656,ICICI0202-NC
970,10695,ICICI0302-NC
971,10063,ICICI0401-N9
972,10716,ICICI0402-NC
973,6551,ICICI0699-NA
974,10423,ICICI0701-N8
975,10472,ICICI0801-NA
976,10502,ICICI0901-NB
977,9141,ICICI1000-NB
978,5814,ICICI1098-NB
979,9426,ICICI1100-NA
980,10542,ICICI1101-NC
981,9595,ICICI1200-NA
982,10596,ICICI1201-NB
983,5946,ICICI1298-NB
984,7421,ICICI1299-NC
985,3001,ICICI500
986,522,ICICIB22
987,4963,ICICIBANK
988,11037,ICICIBANKN
989,11386,ICICIBANKP
990,21770,ICICIGI
991,19679,ICICIGOLD
992,4838,ICICILIQ
993,21254,ICICILOVOL
994,17152,ICICIM150
995,17702,ICICIMCAP
996,30392,ICICINF100
997,29553,ICICINIFTY
998,17475,ICICINV20
999,4529,ICICINXT50
1000,18652,ICICIPRULI
1001,4378,ICICISENSX
1002,11987,ICIL
1003,14523,ICRA
1004,1476,IDBI
1005,25640,IDBIGOLD
1006,14366,IDEA
1007,11957,IDFC
1008,11184,IDFCFIRSTB
1009,10780,IDFCFIRSTB-N1
1010,10790,IDFCFIRSTB-N2
1011,10929,IDFCFIRSTB-N3
1012,10799,IDFCFIRSTB-N4
1013,10802,IDFCFIRSTB-N5
1014,10805,IDFCFIRSTB-N6
1015,10808,IDFCFIRSTB-N7
1016,10811,IDFCFIRSTB-N8
1017,10814,IDFCFIRSTB-N9
1018,10817,IDFCFIRSTB-NA
1019,10908,IDFCFIRSTB-NB
1020,10914,IDFCFIRSTB-NC
1021,10917,IDFCFIRSTB-ND
